"","chrom","start","end","K2P"
"1","LG_2",61204840,61212964,0.0202195972414688
"2","LG_2",61219360,61221366,0.05383516039021
"3","LG_2",61236795,61241286,0.00513560191373308
"4","LG_2",61241905,61249226,0.00100200434335757
"5","LG_2",61268475,61269268,0.0807626126381144
"6","LG_2",61337049,61348048,0.00471560908843013
"7","LG_2",61365365,61372328,0.0259902003078834
"8","LG_2",61382447,61389344,0.0617216844304326
"9","LG_2",61396331,61407449,0.00800498076385228
"10","LG_2",61413022,61414052,0.0984310358849149
"11","LG_N",28376214,28383994,0.00791967466402635
"12","LG_2",61420513,61420863,0.0373050512456091
"13","LG_2",61436215,61437580,0.0899906552890922
"14","LG_2",61489102,61499036,0.0945224032926722
"15","LG_2",61522834,61525105,0.0831151663326633
"16","LG_2",61549232,61560275,0.00463366913212643
"17","LG_2",61562687,61571904,0.0455307238668516
"18","LG_2",61587565,61598437,0.0470685498243997
"19","LG_2",61620897,61638939,0.0130350702936241
"20","LG_2",61696692,61703952,0
"21","LG_2",61726675,61737717,0.00690854002163968
"22","LG_N",28441753,28443913,0.0361188423749656
"23","LG_2",61761650,61772687,0.0423180099154978
"24","LG_2",61813171,61817955,0.0313006939570197
"25","LG_2",61828015,61835556,0
"26","LG_2",61875222,61882442,0.0552601271207954
"27","LG_2",61889241,61895901,0.010031168215104
"28","LG_2",61966497,61978351,0.0466722136210969
"29","LG_2",61986247,61993708,0.0167335410541775
"30","LG_2",61996262,62007291,0.00581669177949103
"31","LG_2",62011672,62017034,0.0297457110443737
"32","LG_2",62025451,62032313,0.00891832806457442
"33","LG_N",28460742,28464876,0.0152486068272081
"34","LG_2",62053575,62060181,0.0182387691544519
"35","LG_2",62063216,62074264,0.013922540955197
"36","LG_2",62081043,62086203,0.00223713812404883
"37","LG_2",62103735,62114759,0.00817458276279661
"38","LG_2",62133276,62137750,0.00308087975352307
"39","LG_2",62158065,62165733,0.00201613176396922
"40","LG_2",62166374,62170833,0.0913627647338717
"41","LG_2",62180915,62186105,0
"42","LG_2",62190146,62190496,0.0585937572213703
"43","LG_2",62194302,62204889,0.0143504033058426
"44","LG_N",28496606,28497095,0.0301779765804183
"45","LG_2",62224480,62232706,0.0107113855851995
"46","LG_2",62238820,62243958,0.0155051183712802
"47","LG_2",62245376,62247650,0.0237482420746421
"48","LG_2",62248930,62253374,0.0371831616574571
"49","LG_2",62257590,62259632,0.00717735923685798
"50","LG_2",62259846,62260395,0
"51","LG_2",62281726,62286271,0.0204449329764099
"52","LG_2",62293189,62300410,0.0186044145267975
"53","LG_2",62338725,62339378,0.0321629969571458
"54","LG_2",62344816,62349307,0.0135143361939596
"55","LG_N",28500531,28505061,0.00513957764433678
"56","LG_2",62362215,62369892,0.0182947537962986
"57","LG_2",62376131,62383832,0.00907583962318367
"58","LG_2",62388429,62392663,0.0170311217180896
"59","LG_2",62423953,62428591,0.0486099943056212
"60","LG_2",62433008,62439744,0.016319438933864
"61","LG_2",62465621,62471746,0.00739833372818541
"62","LG_2",62480920,62488692,0.0166320177080068
"63","LG_2",62489504,62500127,0.00609007879580855
"64","LG_2",62529212,62537003,0.0227995179652759
"65","LG_2",62539415,62547062,0.0719168239477802
"66","LG_N",28514176,28515286,0.0356426048297822
"67","LG_2",62566779,62571557,0.020121652132021
"68","LG_2",62583536,62584345,0.0772152300040546
"69","LG_2",62673551,62681203,0.011040243406426
"70","LG_2",62706219,62707593,0.0092096993351026
"71","LG_2",62719779,62727185,0.0369096528604646
"72","LG_2",62740394,62757046,0.00395135860086091
"73","LG_2",62768131,62785471,0.00188087996094584
"74","LG_2",62822353,62833381,0.00588344995551158
"75","LG_2",62848337,62858132,0.0492151740768793
"76","LG_2",62878797,62885996,0.0873770799813007
"77","LG_N",28517934,28518501,0.0524385567128465
"78","LG_2",62925082,62929787,0.0220023433413461
"79","LG_2",62935096,62937325,0.084958611873964
"80","LG_2",62940987,62951892,0.028825102513966
"81","LG_2",62954497,62955016,0.0674887513346885
"82","LG_2",62960115,62979625,0.096094186153582
"83","LG_2",62996511,63004167,0.0514160555103249
"84","LG_2",63031763,63042413,0.0602437335514825
"85","LG_2",63055767,63070534,0.0106301505458628
"86","LG_2",63095278,63102749,0.00114285764042797
"87","LG_2",63122212,63142274,0.042352686374203
"88","LG_N",28527934,28535591,0.0331996390167505
"89","LG_2",63152905,63160102,0.00598283655438459
"90","LG_2",63170471,63181728,0.0090472462620204
"91","LG_2",63186122,63192708,0.00113507426726959
"92","LG_2",63214136,63233004,0.0613541019839016
"93","LG_2",63236835,63237331,0.0771753599189641
"94","LG_2",63237492,63237916,0.0390105634460391
"95","LG_2",63240820,63245845,0.00668325190195952
